,Text,Tags
1,Hi! Update your email id through WhatsApp: https://wa.me/message/SIAJ2QKMIOVEI1 or head to Vi App https://bit.ly/371QhWe. This will help as ID verification in case of any SIM related needs.,"['authentication', 'notification']"
2,Lucknow ya Kolkata ? - watch it LIVE with Vi cricket pack  RC 499 - 2GB/day+Unlimited Calls+1year Disney+ Hotstar mobile pack. https://bit.ly/VHST1,"['promotional', 'notification']"
3,"Mohd,Check the incredible Acko insurance policy you just bought on Zomato, and add a nominee to it here https://acko.in/t/zwWJOO Save this link for quick access to your policy.","['promotional', 'transactional']"
4,"Hi! You can now get your Vi prepaid invoice emailed to you, simply click https://wa.me/message/5GA7LYJN5IETD1 or visit Vi App at https://bit.ly/3IIQ9J8","['promotional','transactional']"
5,ONLY on Rs299! Recharge NOW with Rs299 & get EXTRA 500MB Data Daily. 299:2GB/Day + Unlimited Calls for 28 Days. Click bit.ly/Vi121NAT,"['promotional','notification']"
6,<#> 704982 is your Zomato verification code. Enjoy :-) tzq5yFMlr4q,['authentication']
7,Received Rs.600.00 in your a/c 91XX3635 from One97 Communications Limited on 6-5-2022.Ref no: 5C05RA03uMM5. Queries? Call 01204456456 :PPBL,"['notification','transactional']"
8,Count#1: Rs 600 paid by 98XXXX4000 at 12:20 AM. It will settle to your bank by 7 am tomorrow or you can transfer now.Visit b.paytm.me :Paytm,"['notification','transactional']"
9,<#> 388779 is your Zomato verification code. Enjoy :-) tzq5yFMlr4q,['authentication']
10,"Rs.209.0 for Vodafone Idea, Mobile Number 9517990472, on 6 May 2022 11:59 PM charged to your Simpl account. Payment may take up to 3 days to reflect in your biller account. You can use the Operator ID UER2205062359280010 to check the status of your transaction with the biller.","['notification','transactional']"
11,"Rs209 recharged! Enjoy Unlimited Calls to All Networks + 4 GB Data + 100 SMS/Day. Valid for 28 Days. Click bit.ly/GetViApp to check balance,expiry,offers & more","['transactional','promotional']"
12,"Simpl OTP: 2083 Unless opted-out, you agree to receive Simpl bill reminder via WhatsApp.",['authentication']
13,"Dear Mohd salman, Thanks for registering with Zomato. Earn upto Rs. 18000 per month.Join now to get Extra Bonus of 1000. Please download the app and register https://www.zomato.com/deliver-food/?d=t. Watch this video to know more: https://youtu.be/5SpXmdITXDo""",['promotional']
14,"Rs.188.0 on Zomato charged via Simpl.Food, groceries, commute, or medicines. Buy Now, Pay Later via Simpl. Know More: https://click.getsimpl.com/vyhm/5b611f85",['transactional']
15,Your verification OTP on Zomato is 869692. -ZOMATO,['authentication']
16,"59039200,Use 802667 for two-factor authentication on Facebook.",['authentication']
17,Your Messenger verification code is G-694665,['authentication']
18,282629 is the OTP to login to your Zomato account. DO NOT disclose it to anyone. AlOe4TVDpqm,['authentication']
19,Your Uber code is 1599. Never share this code. qlRnn4A1sbt,['authentication']
20,Use [64547008] as One Time Password to login to your Swiggy Account pgLJ0BdTNB3,['authentication']
21,Use OTP 459679 to log into your Swiggy account. Do not share the OTP or your number with anyone including Swiggy personnel!,['authentication']
22,"Dear Customer, registration for Google Pay has started for ICICI Bank. If it was not you, report to your bank. Do not share card details/OTP/CVV with anyone.",['authentication']
23,Your Google verification code is 837550,['authentication']
24,"You have initiated the registration for UPI payments on PhonePe. If this is not you, please report it to your bank immediately to avoid any loss of money.",['notification']
25,Dear mohd shahnwaz. You have successfully registered your PhonePe account on this device.,['transactional']
26,84897 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone. XC1xEZ+TDtj,['authentication']
27,<#> 22419 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone. mye1HyUG8DA,['authentication']
28,"Paytm login detected from a new device at 03:14 PM, 06 May. Not you? To logout from all devices, click: https://ap.p-y.tm/ys3MtK or report fraud @1800120130",['notification']
29,"Paytm For Business login requested from a new device at 03:13 PM, 06 May. Not you? Safeguard your paytm account, click: https://paytm.me/rl-o86b",['notification']
30,<#>Paytm never calls for OTP. Do not share it with anyone. Paytm For Business Login OTP: 758569. Not You? Report https://ap.p-y.tm/LNbiqU  ID: cIWSokveyWr,['authentication']
31,<#>7252 is your Mitra verification code. Please do not share this with anyone.,['authentication']
32,<#> 4835 is your Disney+ Hotstar verification code. Enjoy watching! /wAX/OsgZgE,['authentication']
33,"Biometric authentication is enabled for Kotak Bank Mobile Banking App on CPH2139 for CRN xx8418. To report fraud, click kotak.com/fraud",['notification']
34,"Alert! After successful mobile no. verification, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com/fraud""",['notification']
35,<#> 7456 is your verification code for Dainik Bhaskar. 7Dr1ygzoY/w - Bhaskar Group,['authentication']
36,#   Onetime password is : 995930 This OTP is valid for 15 minutes only & usable only once on Groww. T & C apply. hkHMMiIZPc7,['authentication']
37,<#> 1626 is the OTP for your Airtel Thanks app login. Valid for 15 mins. Please do not share this with anyone N9BWuqauU1y,['authentication']
38,[OPPO]813353 is your verification code. It expires in 5 minutes. Don't share it with anyone.,['authentication']
39,Your WhatsApp code: 957-128  You can also tap on this link to verify your phone: v.whatsapp.com/957128. Don't share this code with others.,['authentication']
40,G-505823 is your Google verification code.,['authentication']
41,<#>1813 is your Mitra verification code. Please do not share this with anyone.,['authentication']
42,"Dear Customer, your 200,000 Rs loan has been disbursed. Click on the link to confirm withdrawal https://bit.ly/37VyaCe (ANKIAR)","['promotional','spam']"
43,Celebrate Eid with us! Get 40% Off upto Rs 140/- on orders above Rs 249 from Behrouz Biryani  ,['promotional']
44,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.299.00 and credited to euronetgpay.pay@icici (UPI Ref no 212355781017).-Indian Bank,"['notification','transactional']"
45,"Stay fit, save big.Price drop on our top smartwatches! Starting @Rs.1,999/- Grab now: bit.ly/3LwIZZQ",['promotional']
46,"Dear Saroj, You are eligible and may avail precaution dose at private vaccination center only after 21-04-2022. Please visit cowin.gov.in  CoWIN","['notification','transactional']"
47,"Hi, Receive Rs.1500*/- Bonus Download MY11CIRCLE App Win Real Cash Click here: crckt11.in/J432-17656D046",['promotional']
48,"90% daily data quota used as on 03-May-22 00:44.For tips on how to manage data quota effectively, click https://youtu.be/ZFUDydctV78 If you do not have any other data plan, your internet speed will be reduced on consumption of 1.50 GB. To continue enjoying high speed internet, click https://www.jio.com/dl/data_voucher and recharge.",['notification']
49,"Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",['notification']
50,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to paytmqr281005050101igsemgaff7py@paytm (UPI Ref no 212248850682).-Indian Bank,['transactional']
51,Your VPA 6280368198@paytm linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to Q80761355@ybl (UPI Ref no 212285142987).-Indian Bank,['transactional']
52,"50% Daily Data quota used as on 02-May-22 20:15. Jio Number : 6280368198 Daily Data quota as per plan : 1.50 GB To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I  Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",['notification']
53,<#> Shadowfax Id is 153915699 6gW4yAjEoWG,['authentication']
54,<#>9627 is your Mitra verification code. Please do not share this with anyone.,['authentication']
55,<#>3419 is your Mitra verification code. Please do not share this with anyone.,['authentication']
56,<#> Shadowfax Id is 153900024 6gW4yAjEoWG,['authentication']
57,"NEXTBILLION TECHNOLOGY PRIVATE on 02-apr-2022 reported your Fund bal Rs.0.67 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",['notification']
58,"Dear members, your gift for this month's event has been distributed, and you can get up to 80000rs, please click to receive https://3pattiparty.com/ -XPROSPER",['spam']
59,Payday offer valid till 5th May on Gamezy. Upto 50% bonus & 4% Instant Cash on add cash of Rs.2500 or more. Check the app for more details. gamezy://app/game/#/payment,['promotional']
60,Your VPA 6280368198@ybl linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.3500.00 and credited to 7082282508@ybl (UPI Ref no 212287937861).-Indian Bank,['transactional']
61,"Hey sanju, FREE entry worth Rs.25 to join KOL vs RR expires soon! Join NOW & win big: dream11.com/leagues - Dream11",['promotional']
62,"Dear 62803681XX, KOL vs RAJ, T20 Match is live on My11circle.Prize Pool - 4,25,00,000 (4.25Crores) Entry Fee - 49 Click - http://1kx.in/OI8z3rWi9dM",['promotional']
63,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.40.00 and credited to paytmqr281005050101xo2pulse786j@paytm (UPI Ref no 212237512625).-Indian Bank,['transactional']
64,"You are empowered, surprise someone by paying their bill or help someone by recharging for them . All this and more by downloading Vi App .",['promotional']
65,Service of your Maruti Suzuki car is overdue. Please get service as per Schedule to keep enjoying benefits of Warranty. For Appt. call CM Autos 9915003004,['notification']
66,"Hi there, SUNSATIONAL NEWS: Nykaa Summer Super Saver Days PRICES REVEALED! Add all these never seen before deals to Pink Box NOW to beat the queue bit.ly/3vZY9QT",['promotional']
67,"50% Daily Data quota used as on 02-May-22 01:07.Jio Number : 6280368198 Daily Data quota as per plan : 1.50 GB To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I",['notification']
68,"Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",['promotional']
69,<#> Shadowfax Id is 153762679 6gW4yAjEoWG,['authentication']
70,Signup on MPL today and get an instant reward upto Rs 50. SIGNUP CODE : MPLLUDOAPRIL1 - bit.ly/3uZVlE6,['promotional']
71,Payday offer valid till 5th May on Gamezy. Upto 50% bonus & 4% Instant Cash on add cash of Rs.2500 or more. Check the app for more details. gamezy://app/game/#/payment,['promotional']
72,"5PAISA CAPITAL at EOD 09/04/2022 reported your Fund bal Rs -147.710 & Securities bal 0. This excludes your Bank, DP and PMS bal with the broker-BSE",['transactional']
73,Congrats! You have received complimentary 6-month subscription to ad-free music with unlimited downloads! Claim NOW https://bit.ly/3fKFhgV,['promotional']
74,"Dear, â‚¹10 Lakhs + MG Hector 1st Prize for HYD vs CHE T20 Match on My11Circle! 1. Register for FREE 2. Make A Fantasy Team 3. Get â‚¹1500 on first add cash*",['promotional']
75,<#> Shadowfax Id is 153673779 6gW4yAjEoWG,['authentication']
76,"You have initiated the registration for UPI payments on PhonePe. If this is not you, please report it to your bank immediately to avoid any loss of money.","['notification','transactional']"
77,Dear sanju. You have successfully registered your PhonePe account on this device.,['transactional']
78,04383 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone. XC1xEZ+TDtj,['authentication']
79,60267 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone.,['authentication']
80,Your VPA 6280368198@paytm linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.500.00 and credited to zomatomediaprivatelimited.rzp@sbi (UPI Ref no 212118534601).-Indian Bank,['notification']
81,"Alert: Beware of fraudsters sending SMS citing your SIM block/suspension/KYC/Document verification pending. DO NOT CALL BACK as they may ask you to download Apps to access your mobile phone and may get confidential information including OTP.Do not respond to SMS from unknown numbers, asking for such information other than from our official SMS ID- ViCARE.Avoid falling victim to such frauds, block these numbers and report to https://cybercrime.gov.in",['notification']
82,"Jio Number : 6280368198 Daily Data quota as per plan : 1.50 GB To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",['notification']
83,Your Swiggy order #134419877174 has been cancelled. You will be charged a cancellation fee of Rs 168.0 which will be payable on your next order.,['transactional']
